Kanji,Furigana,Meaning,Level
箇条書き,かじょうがき,"itemized form, itemization",N1
噛る,かじる,"to chew, to bite (at), to gnaw, to nibble, to munch, to crunch, to have a smattering of",N1
微か,かすか,"faint, dim, weak, indistinct, hazy, poor, wretched",N1
霞む,かすむ,"to grow hazy, to be misty",N1
化する,かする,"to change into, to convert into, to transform, to be reduced, to influence, to improve (someone)",N1
擦る,かする,"to touch lightly, to take a percentage (from)",N1
火星,かせい,Mars (planet),N1
化石,かせき,"fossil, petrifaction, fossilization",N1
河川,かせん,rivers,N1
化繊,かせん,synthetic fibres,N1
過疎,かそ,depopulation,N1
過多,かた,"excess, superabundance",N1
難い,かたい,"difficult, hard",N1
片思い,かたおもい,unrequited love,N1
敵,かたき,"enemy, rival",N1
気質,かたぎ,"spirit, character, trait, temperament, disposition",N1
片言,かたこと,"a smattering, talk like a baby, speak haltingly",N1
片付け,かたづけ,"tidying up, finishing",N1
傾く,かたぶく,"to incline toward, to slant, to lurch, to heel over, to be disposed to, to trend toward, to be prone to, to",N1
傾ける,かたむける,"to incline, to list, to bend, to lean, to tip, to tilt, to slant, to concentrate on, to ruin (a country), to",N1
固める,かためる,"to harden, to freeze, to fortify",N1
偏る,かたよる,"to be one-sided, to incline, to be partial, to be prejudiced, to lean, to be biased",N1
